tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
"Bewachung: Internationaes Beratungszentrum, Goethestr. 53 (VGSt1-5-2024-0036)",Z_Vergabestelle 1 Abt. 5,2024-11-07,09.12.24,not specified,not specified,07.11.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Beratung,Bavaria
Studie zu Kurd*innen in München (DIR) (VGSt1-2-2024-0152),Vergabestelle 1 SG 2,2024-10-29,25.11.24,not specified,not specified,29.10.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Studie,Bavaria
67-1086-24 Rahmenvertrag - Beratung und Vortragstätigkeit zur klimafreundlichen Wärmeversorgung,Umwelt und Stadtgrün,2024-11-15,11.12.24,13.01.2025 until 31.12.2025,30159 Hannover,15.11.24,not specified,https://www.myorder.rib.de,Beratung,Bavaria
2024-68 Fortschreibung der kreislichen Standortanalyse im Landkreis Sächsische Schweiz-Osterzgebirge als Grundlage für die Kreisbrandschutzbedarfsplanung,Landkreis Sächsische Schweiz-Osterzgebirge,2024-11-15,28.11.24,02.01.2025 until 01.08.2025,01796 Pirna,15.11.24,not specified,https://www.myorder.rib.de,Analyse,Bavaria
PolBln 514_24 PolBln 514_24 RV Verbrauchsmaterialien Urinanalysegerät UC 1000,Polizei Berlin,2024-11-14,13.12.24,"ab Vertrag until 01.02.2025-31.01.2026, optional plus 3 Jahre",12101 Berlin,14.11.24,not specified,https://www.myorder.rib.de,Analyse,Berlin
01-2024 Sicherheitsdienstleistungen und Besucherbetreuung für die T und M Technik und Museum Marketing GmbH,T & M Technik und Museum Marketing GmbH,2024-11-12,03.12.24,01.01.2025 until 31.12.2025 mit Option Verlängerung 1 Jahr,10963 Berlin Kreuzberg,12.11.24,not specified,https://www.myorder.rib.de,"Besucher, Museum",Berlin
"B-0347-24 Teilsanierung Grünanlage Stationsgarten, W-Vohwinkel",Stadt Wuppertal,2024-11-11,02.12.24,10.02.2025 until 21.03.2025,42275 Wuppertal,11.11.24,not specified,https://www.myorder.rib.de,Grünanlage,Bavaria
"B-0354-24 Teilüberholung Grünanlage Nützenberg, Eingang Sadowastr.",Stadt Wuppertal,2024-11-11,03.12.24,01.03.2025 until 01.04.2025,42275 Wuppertal,11.11.24,not specified,https://www.myorder.rib.de,Grünanlage,Bavaria
24A0112 Ausstellungsbau,Staatliches Bauamt Nürnberg,2024-11-07,05.12.24,01.04.2025 until 15.08.2025,91154 Roth,07.11.24,not specified,https://www.myorder.rib.de,Ausstellung,Bavaria
189_24 Instandhaltung von städtischen Grünanlagen,Universitätsstadt Siegen,2024-11-08,06.12.24,05.03.2025 until 31.12.2025,57072 Siegen,06.11.24,not specified,https://www.myorder.rib.de,Grünanlage,North Rhine-Westphalia
2024-0368-66 Deckensanierung Mobilitätskonzept Berliner Ring,Magistrat der Stadt Wetzlar,2024-11-06,29.11.24,nach Auftragserteilung until 26.05.2025,35578 Wetzlar,06.11.24,not specified,https://www.myorder.rib.de,Konzept,Bavaria
FG 2884 24R002 Erstellung naturschutzfachlicher Unterlagen bzw. Gutachten in Schleswig-Holstein,Gebäudemanagement Schleswig-Holstein AöR,2024-11-07,09.12.24,not specified,24103 Kiel,06.11.24,not specified,https://www.myorder.rib.de,Gutachten,Bavaria
