tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
"Bewachung: Internationaes Beratungszentrum, Goethestr. 53 (VGSt1-5-2024-0036)",Z_Vergabestelle 1 Abt. 5,2024-11-07,09.12.24,not specified,not specified,07.11.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Beratung,Bavaria
Studie zu Kurd*innen in München (DIR) (VGSt1-2-2024-0152),Vergabestelle 1 SG 2,2024-10-29,25.11.24,not specified,not specified,29.10.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Studie,Bavaria
67-1086-24 Rahmenvertrag - Beratung und Vortragstätigkeit zur klimafreundlichen Wärmeversorgung,Umwelt und Stadtgrün,2024-11-15,11.12.24,13.01.2025 until 31.12.2025,30159 Hannover,15.11.24,not specified,https://www.myorder.rib.de,Beratung,Bavaria
2024-68 Fortschreibung der kreislichen Standortanalyse im Landkreis Sächsische Schweiz-Osterzgebirge als Grundlage für die Kreisbrandschutzbedarfsplanung,Landkreis Sächsische Schweiz-Osterzgebirge,2024-11-15,28.11.24,02.01.2025 until 01.08.2025,01796 Pirna,15.11.24,not specified,https://www.myorder.rib.de,Analyse,Bavaria
PolBln 514_24 PolBln 514_24 RV Verbrauchsmaterialien Urinanalysegerät UC 1000,Polizei Berlin,2024-11-14,13.12.24,"ab Vertrag until 01.02.2025-31.01.2026, optional plus 3 Jahre",12101 Berlin,14.11.24,not specified,https://www.myorder.rib.de,Analyse,Berlin
Helpdesk und Datenbank-Management für das landesweite Destinationsmanagementsystem Deskline(R),Rheinland-Pfalz Tourismus GmbH,2024-05-28,not specified,not specified,not specified,28.05.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Erlebnis, Destination, Tourismus",Rhineland-Palatinate
Island Exkursion,Universität Trier,2024-06-19,not specified,not specified,not specified,19.06.24,UVgO Vergebener Auftrag,https://vergabe.rlp.de,Erlebnis,Rhineland-Palatinate
"Rahmenvereinbarung für Bundeswehrmaßnahmen im Zuständigkeitsbereich der LBB NL Kaiserslautern-  Fachplanung Bauphysik gem. Anl. 1, Pkt. 1.2 HOAI 2021, sowie in Anlehnung an die AHO Hefte Nr. 23 u. 44","Bundesrepublik Deutschland, vertreten durch d. Bundesministerium d. Verteidigung, vertreten durch d. Amt für Bundesbau (ABB), vertreten durch d. Landesbetrieb Liegenschafts- und Baubetreuung (LBB), NL Kaiserslautern,  vertreten d. d. Niederlassungsleitung",2024-11-06,04.12.24,not specified,not specified,06.11.24,VSVgV TNW,https://vergabe.rlp.de,"Freizeit, Markenwelt",Rhineland-Palatinate
IT-Services und Support für die Rheinland-Pfalz-Tourismus GmbH,Rheinland-Pfalz Tourismus GmbH,2024-06-06,not specified,not specified,not specified,06.06.24,VgV Vergebener Auftrag,https://vergabe.rlp.de,"Tourismus, Studie, Analyse",Rhineland-Palatinate
Rahmenvereinbarung für Bundeswehrmaßnahmen im Zuständigkeitsbereich der LBB Niederlassung Kaiserslautern-Leistungen für den bauordnungsrechtlichen Brandschutz in Anlehnung an das AHO Heft Nr. 17,"Bundesrepublik Deutschland, vertreten durch d. Bundesministerium d. Verteidigung, vertreten durch d. Amt für Bundesbau (ABB), vertreten durch d. Landesbetrieb Liegenschafts- und Baubetreuung (LBB)   NL Kaiserslautern, vertreten d. d. Niederlassungsleitung",2024-10-27,25.11.24,not specified,not specified,27.10.24,VSVgV TNW,https://vergabe.rlp.de,Markenwelt,Rhineland-Palatinate
