tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
Ferienfreizeiten am Meer (SOZ-2024-0008),Sozialreferat,2024-07-22,19.08.24,not specified,not specified,22.07.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Freizeit,Bavaria
Reiterfreizeiten 2025 und 2026 (SOZ-2024-0007),Sozialreferat,2024-07-11,12.08.24,not specified,not specified,11.07.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Freizeit,Bavaria
Lichtplanung für 2 Standorte in Lauchhammer,Stadt Lauchhammer,2024-06-24,not specified,not specified,not specified,24.06.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Erlebnis, Ausstellung",Brandenburg
"Kulturpark in 15344 Strausberg - Neugestaltung der Freianlage, 1. Bauabschnitt",Stadtverwaltung Strausberg,2024-07-18,15.08.24,not specified,not specified,18.07.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,Erlebnis,Brandenburg
BV Sternenpfad Lieberoser Heide,Stiftung Naturlandschaften Brandenburg,2021-12-06,not specified,not specified,not specified,06.12.21,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Erlebnis,Brandenburg
Wegeinstandsetzung,Stiftung Naturlandschaften Brandenburg,2021-12-06,not specified,not specified,not specified,06.12.21,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Erlebnis,Brandenburg
Installation einer PV-Anlage Treffpunkt Freizeit,"Gesellschaft für Kultur, Begegnung und soziale Arbeit in Potsdam gGmbH",2024-08-01,not specified,not specified,not specified,01.08.24,VOB/A Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Freizeit,Brandenburg
"Teilnutzungsänderung - ehem. Schulküche Grundschule ""Georg Büchner"" Joachimsthal",Amt Joachimsthal (Schorfheide),2017-01-12,not specified,not specified,not specified,12.01.17,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Freizeit,Brandenburg
Planung Spiel- und Erholungspark Großziethen LP 3-9,Gemeinde Schönefeld,2024-07-21,22.08.24,not specified,not specified,21.07.24,VgV TNW,https://vergabemarktplatz.brandenburg.de,"Freizeit, Konzept",Brandenburg
Sanierung Ziegenwerder in Frankfurt (Oder) - Planungsleistungen  für Freianlagen,"Stadt Frankfurt (Oder), Bereich des Oberbürgermeisters, Rechtsamt, Zentrale Vergabestelle",2024-07-24,23.08.24,not specified,not specified,24.07.24,VgV TNW,https://vergabemarktplatz.brandenburg.de,"Freizeit, Grünanlage",Brandenburg
BPL FFW Papitz/Dahlitz,Gemeinde Kolkwitz,2024-07-22,07.08.24,not specified,not specified,22.07.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,"Freizeit, Konzept, Studie",Brandenburg
Planung Hortneubau Grundschule Dahme/Mark,"Stadt Dahme/Mark, vertr. d. d. Amt Dahme/Mark",2024-08-06,not specified,not specified,not specified,06.08.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Freizeit, Gutachten",Brandenburg
Errichtung einer Jugendfreizeitanlage in Nieder Neuendorf in 16761 Hennigsdorf,Stadt Hennigsdorf,2024-05-07,not specified,not specified,not specified,07.05.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Freizeit,Brandenburg
Um- und Ausbau Güterschuppen Bernau - Planungsleistungen (Angebotsphase),Stadt Bernau bei Berlin,2024-06-16,not specified,not specified,not specified,16.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Freizeit, Machbarkeit, Studie, Machbarkeitsstudie",Brandenburg
Stadt Cottbus OV 53-2024 Reinigungsleistungen Schulen - 9 Lose,Stadtverwaltung Cottbus,2024-06-19,not specified,not specified,not specified,19.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Freizeit,Brandenburg
"eisenhüttenstädter Freizeitzentrum, 15890 Ehst. Erneuerung Kaltwasserleitungen","Stadt Eisenhüttenstadt, Fachbereich Stadtentwicklung",2024-04-18,not specified,not specified,not specified,18.04.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Freizeit,Brandenburg
Revitalisierung GLT,Stadtwerke Postdam GmbH,2024-06-28,15.08.24,not specified,not specified,28.06.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,Freizeit,Brandenburg
Elektrotechnik - Reparatur der Mediensäule im MAFZ Paaren und Umbau der Gebäudehauptverteilung inkl. Netzersatzanlage in der Rettungswache Rathenow,Landkreis Havelland - Der Landrat -,2024-08-01,22.08.24,not specified,not specified,01.08.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Freizeit, Ausstellung",Brandenburg
LaRa - Reallabor touristische Besucherlenkung,TMB Tourismus-Marketing Brandenburg GmbH,2024-08-02,06.09.24,not specified,not specified,02.08.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Destination, Tourismus, Besucher",Brandenburg
Beratende Begleitung New Work Experiences im Tourismus,TMB Tourismus-Marketing Brandenburg GmbH,2024-08-01,05.09.24,not specified,not specified,01.08.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,Tourismus,Brandenburg
Konzession zur Betreibung von Wochenmärkte,Stadt Brandenburg an der Havel - Amt 80,2024-07-24,03.09.24,not specified,not specified,24.07.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,Tourismus,Brandenburg
Erstellung einer Tourismuskonzeption,Landkreis Elbe-Elster,2024-08-06,21.08.24,not specified,not specified,06.08.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,"Tourismus, Tourismuskonzept, Tourismuskonzeption, Konzept",Brandenburg
Begleitende Prozessmoderation und -beratung zur Erstellung und Umsetzung der strategischen Unternehmenskonzeption,TMB Tourismus-Marketing Brandenburg GmbH,2024-06-11,not specified,not specified,not specified,11.06.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismus,Brandenburg
Sanierung Ringofen IV im Ziegeleipark Mildenberg - Bauhaupt,"WInTO GmbH Wirtschafts-, Innovations- und Tourismusförderung Oberhavel GmbH",2024-07-18,21.08.24,not specified,not specified,18.07.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Tourismus, Tourismusförderung",Brandenburg
